"Date","Open","High","Low","Close","Volume"
"2026-01-02","11000","11375","10950","11200","22826900"
"2026-01-05","11300","11350","11075","11150","22169100"
"2026-01-06","11325","12000","11250","11975","43194600"
"2026-01-07","12050","12450","11850","11875","34523700"
"2026-01-08","11925","12600","11900","12275","44383600"
"2026-01-09","12325","12400","11900","12050","31317700"
"2026-01-12","12100","12300","10250","11275","71817400"
"2026-01-13","11450","11575","11000","11525","44901000"
"2026-01-14","11800","12500","11475","12400","52733200"
"2026-01-15","12675","13000","12625","12900","56258500"
"2026-01-19","12900","12950","12750","12775","31569700"
"2026-01-20","12800","12850","12300","12725","62862100"
"2026-01-21","12600","12625","12075","12375","51654000"
"2026-01-22","12350","12350","10775","10775","132960900"
"2026-01-23","10225","10550","9175","9175","271195100"
"2026-01-26","8775","9350","8275","8325","198254900"
"2026-01-27","8350","8975","8350","8575","94807900"
"2026-01-28","7300","7300","7300","7300","24610400"
"2026-01-29","6225","8200","6225","7500","305409900"
"2026-01-30","7700","8075","6925","7050","113612500"
"2026-02-02","7075","7100","6000","6000","109633700"
"2026-02-03","5550","6375","5200","6150","161637400"
"2026-02-04","6175","6450","5825","6100","74999700"
"2026-02-05","6175","6750","6125","6125","93564700"
"2026-02-06","5900","6125","5525","5725","69893300"
"2026-02-09","5825","6050","5550","6025","53057200"
"2026-02-10","5875","6300","5875","5975","52422300"
"2026-02-11","6075","7150","6075","7125","235537400"
"2026-02-12","7300","7850","7150","7325","189801000"
"2026-02-13","7325","7625","7025","7450","88749800"
"2026-02-18","7700","8050","7500","7575","94072500"
"2026-02-19","7625","7700","7250","7325","61414900"
"2026-02-20","7350","7450","7050","7075","59855200"
"2026-02-23","7250","7375","7075","7125","57348600"
"2026-02-24","7175","7200","6500","6650","130424400"
"2026-02-25","6725","6850","6350","6775","82122500"
"2026-02-26","6825","6875","6125","6300","84240700"
"2026-02-27","6275","6375","5900","6125","106486100"
"2026-03-02","5725","6150","5625","6000","69686600"
"2026-03-03","6275","6375","5600","5825","95915100"
"2026-03-04","5725","5850","5175","5300","91357400"
